ID_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
46,CVLI,Homicídio,03/01/2012,12:30,Maceió,Benedito Bentes,Masculino,NI,24,PAF/B,Local de Trabalho
61,CVLI,Homicídio,06/01/2012,15:00,Maceió,Vergel do Lago,Masculino,NI,22,PAF,Via Pública
55,CVLI,Homicídio,05/01/2012,12:00,Maceió,Vergel do Lago,Masculino,Parda,16,PAF,Via Pública
57,CVLI,Roubo com Resultado Morte,05/01/2012,22:00,Maceió,Benedito Bentes,Masculino,NI,34,PAF,Via Pública
42,CVLI,Homicídio,02/01/2012,13:15,Maceió,Benedito Bentes,Masculino,NI,20,PAF,Via Pública
128,CVLI,Homicídio,16/01/2012,12:30,Maceió,Vergel do Lago,Masculino,NI,22,PAF,Via Pública
2,CVLI,Homicídio,29/05/2012,23:00,Maceió,Vergel do Lago,Masculino,Parda,12,PAF,Via Pública
100,CVLI,Homicídio,12/01/2012,21:00,Maceió,Vergel do Lago,Masculino,Parda,18,PAF,Via Pública
8,CVLI,Homicídio,28/05/2012,21:30,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,NI
32,CVLI,Homicídio,01/01/2012,09:00,Maceió,Benedito Bentes,Masculino,NI,45,NI,Imediações de Casa
214,CVLI,Homicídio,31/01/2012,10:00,Maceió,Vergel do Lago,Masculino,NI,35,PAF,Via Pública
236,CVLI,Homicídio,04/02/2012,03:00,Maceió,Vergel do Lago,Masculino,NI,29,PAF,Dentro de Casa
198,CVLI,Homicídio,29/01/2012,05:20,Maceió,Benedito Bentes,Masculino,Parda,23,PAF,Via Pública
199,CVLI,Homicídio,29/01/2012,05:25,Maceió,Benedito Bentes,Masculino,NI,18,PAF,Via Pública
242,CVLI,Homicídio,05/02/2012,00:05,Maceió,Vergel do Lago,Masculino,Parda,18,PAF,Próximo de Casa
244,CVLI,Homicídio,05/02/2012,21:40,Maceió,Benedito Bentes,Masculino,Parda,23,PAF,Imediações de Casa
245,CVLI,Homicídio,05/02/2012,00:05,Maceió,Vergel do Lago,Masculino,NI,41,PAF,Próximo de Casa
271,CVLI,Homicídio,07/02/2012,21:30,Maceió,Benedito Bentes,Masculino,NI,14,PAF,Via Pública
147,CVLI,Homicídio,22/01/2012,02:50,Maceió,Benedito Bentes,Masculino,NI,18,PAF,Via Pública
122,CVLI,Homicídio,15/01/2012,22:50,Maceió,Vergel do Lago,Masculino,NI,21,ESPANCAMENTO,Via Pública
188,CVLI,Homicídio,28/01/2012,18:00,Maceió,Benedito Bentes,Masculino,Parda,22,PAF,Dentro de Casa
167,CVLI,Homicídio,24/01/2012,00:07,Maceió,Benedito Bentes,Masculino,NI,26,PAF,Dentro de Casa
672,CVLI,Roubo com Resultado Morte,09/04/2012,07:00,Maceió,Benedito Bentes,Feminino,Parda,21,PAF,Via Pública
384,CVLI,Homicídio,26/02/2012,00:30,Maceió,Vergel do Lago,Masculino,NI,27,PAF,Bar
191,CVLI,Homicídio,28/01/2012,21:15,Maceió,Benedito Bentes,Masculino,Preta,36,PAF,Imediações de Casa
399,CVLI,Homicídio,26/02/2012,08:30,Maceió,Benedito Bentes,Masculino,NI,48,PAF,NI
307,CVLI,Homicídio,13/02/2012,16:20,Maceió,Vergel do Lago,Masculino,NI,21,PAF,Via Pública
308,CVLI,Homicídio,14/02/2012,15:30,Maceió,Benedito Bentes,Masculino,NI,22,PAF,Via Pública
364,CVLI,Homicídio,23/02/2012,11:45,Maceió,Benedito Bentes,Masculino,NI,16,BRANCA,Terreno Baldio
365,CVLI,Homicídio,23/02/2012,18:10,Maceió,Benedito Bentes,Masculino,NI,16,PAF,Via Pública
370,CVLI,Homicídio,23/02/2012,18:10,Maceió,Benedito Bentes,Masculino,NI,16,PAF,Via Pública
495,CVLI,Homicídio,16/03/2012,22:00,Maceió,Benedito Bentes,Masculino,Parda,17,PAF,Via Pública
525,CVLI,Homicídio,20/03/2012,09:00,Maceió,Benedito Bentes,Feminino,Parda,39,ESPANCAMENTO,Vegetação
526,CVLI,Homicídio,20/03/2012,11:00,Maceió,Benedito Bentes,Feminino,Parda,16,NI,Via Pública
532,CVLI,Homicídio,23/03/2012,17:00,Maceió,Benedito Bentes,Masculino,Parda,22,PAF,Via Pública
24926,CVLI,Homicídio,06/03/2018,08:00,Maceió,Benedito Bentes,Masculino,Preta,34,PAF,Vegetação
554,CVLI,Homicídio,25/03/2012,21:00,Maceió,Vergel do Lago,Masculino,NI,24,PAF,Dentro de Casa
555,CVLI,Homicídio,25/03/2012,14:00,Maceió,Benedito Bentes,Masculino,NI,25,BRANCA,Dentro de Casa
451,CVLI,Homicídio,09/03/2012,10:15,Maceió,Vergel do Lago,Masculino,NI,21,PAF,Via Pública
458,CVLI,Homicídio,11/03/2012,00:25,Maceió,Benedito Bentes,Feminino,Branca,26,PAF,Via Pública
435,CVLI,Homicídio,05/03/2012,13:30,Maceió,Benedito Bentes,Masculino,NI,23,NI,Vegetação
439,CVLI,Homicídio,07/03/2012,22:05,Maceió,Vergel do Lago,Masculino,Parda,23,PAF,Interior de Residência
659,CVLI,Homicídio,07/04/2012,19:30,Maceió,Benedito Bentes,Masculino,NI,15,PAF,Via Pública
668,CVLI,Homicídio,08/04/2012,17:30,Maceió,Benedito Bentes,Masculino,Branca,20,PAF,Imediações de Casa
674,CVLI,Homicídio,09/04/2012,15:30,Maceió,Benedito Bentes,Masculino,Parda,NI,PAF,Via Pública
1304,CVLI,Homicídio,02/07/2012,22:00,Maceió,Vergel do Lago,Masculino,Parda,20,PAF,Próximo de Casa
1313,CVLI,Homicídio,30/06/2012,23:50,Maceió,Vergel do Lago,Masculino,Parda,22,PAF,Via Pública
