D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
1,CVLI,Homicídio,29/05/2012,18:30,Maceió,Mutange,Masculino,Parda,12,PAF,Via Pública
32,CVLI,Homicídio,01/01/2012,09:00,Maceió,Benedito Bentes,Masculino,NI,45,NI,Imediações de Casa
3,CVLI,Homicídio,29/05/2012,21:00,São Miguel dos Campos,Centro,Masculino,Parda,19,PAF,Via Pública
5,CVLI,Homicídio,01/02/2012,03:00,Atalaia,Zona Rural,Masculino,NI,18,PAF,Via Pública
7,CVLI,Homicídio,28/05/2012,11:00,Maceió,Cruz das Almas,Masculino,Parda,25,PAF,Porta de Casa
2991,CVLI,Homicídio,01/01/2013,13:00,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Via Pública
9,CVLI,Homicídio,26/05/2012,20:30,Santana do Ipanema,Zona Rural,Masculino,Parda,38,PAF,Local Público
10,CVLI,Homicídio,28/05/2012,21:10,Joaquim Gomes,Zona Rural,Masculino,Parda,23,PAF,Próximo de Casa
11,CVLI,Roubo com Resultado Morte,14/05/2012,10:30,Maceió,Centro,Masculino,Parda,52,PAF,Via Pública
12,CVLI,Homicídio,28/05/2012,00:00,Coruripe,Zona Rural,Masculino,Parda,22,PAF,Vegetação
13,CVLI,Homicídio,28/05/2012,00:00,Coruripe,Zona Rural,Masculino,Parda,20,PAF,Vegetação
15,CVLI,Homicídio,30/05/2012,00:20,Maceió,Jacintinho,Feminino,Parda,19,PAF,Via Pública
16,CVLI,Homicídio,30/05/2012,16:20,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,22,PAF,Próximo de Casa
17,CVLI,Homicídio,30/05/2012,18:00,Rio Largo,Mata do Rolo,Masculino,Parda,31,PAF,Dentro de Casa
