,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO,data_registro,ID_CONTROLE
1.0,CVLI,Homicídio,29/05/2012,18:30,Maceió,Mutange,Masculino,Parda,12.0,PAF,Via Pública,2012-05-29 18:30:00,
32.0,CVLI,Homicídio,01/01/2012,09:00,Maceió,Benedito Bentes,Masculino,NI,45.0,NI,Imediações de Casa,2012-01-01 09:00:00,
3.0,CVLI,Homicídio,29/05/2012,21:00,São Miguel dos Campos,Centro,Masculino,Parda,19.0,PAF,Via Pública,2012-05-29 21:00:00,
5.0,CVLI,Homicídio,01/02/2012,03:00,Atalaia,Zona Rural,Masculino,NI,18.0,PAF,Via Pública,2012-02-01 03:00:00,
7.0,CVLI,Homicídio,28/05/2012,11:00,Maceió,Cruz das Almas,Masculino,Parda,25.0,PAF,Porta de Casa,2012-05-28 11:00:00,
2991.0,CVLI,Homicídio,01/01/2013,13:00,Maceió,Vergel do Lago,Masculino,Parda,21.0,PAF,Via Pública,2013-01-01 13:00:00,
9.0,CVLI,Homicídio,26/05/2012,20:30,Santana do Ipanema,Zona Rural,Masculino,Parda,38.0,PAF,Local Público,2012-05-26 20:30:00,
10.0,CVLI,Homicídio,28/05/2012,21:10,Joaquim Gomes,Zona Rural,Masculino,Parda,23.0,PAF,Próximo de Casa,2012-05-28 21:10:00,
11.0,CVLI,Roubo com Resultado Morte,14/05/2012,10:30,Maceió,Centro,Masculino,Parda,52.0,PAF,Via Pública,2012-05-14 10:30:00,
12.0,CVLI,Homicídio,28/05/2012,00:00,Coruripe,Zona Rural,Masculino,Parda,22.0,PAF,Vegetação,2012-05-28 00:00:00,
13.0,CVLI,Homicídio,28/05/2012,00:00,Coruripe,Zona Rural,Masculino,Parda,20.0,PAF,Vegetação,2012-05-28 00:00:00,
15.0,CVLI,Homicídio,30/05/2012,00:20,Maceió,Jacintinho,Feminino,Parda,19.0,PAF,Via Pública,2012-05-30 00:20:00,
16.0,CVLI,Homicídio,30/05/2012,16:20,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,22.0,PAF,Próximo de Casa,2012-05-30 16:20:00,
17.0,CVLI,Homicídio,30/05/2012,18:00,Rio Largo,Mata do Rolo,Masculino,Parda,31.0,PAF,Dentro de Casa,2012-05-30 18:00:00,
18.0,CVLI,Homicídio,30/05/2012,21:20,Maceió,Rio Novo,Masculino,Parda,19.0,PAF,Próximo de Casa,2012-05-30 21:20:00,
19.0,CVLI,Homicídio,31/05/2012,04:30,Maceió,Cidade Universitária,Masculino,Parda,25.0,ESPANCAMENTO,Próximo de Casa,2012-05-31 04:30:00,
20.0,CVLI,Homicídio,30/05/2012,22:30,Coruripe,Centro,Masculino,Parda,30.0,PAF,Via Pública,2012-05-30 22:30:00,
21.0,CVLI,Homicídio,30/05/2012,15:30,União dos Palmares,Zona Rural,Masculino,Branca,40.0,PAF,Via Pública,2012-05-30 15:30:00,
22.0,CVLI,Homicídio,31/05/2012,15:50,Atalaia,Centro,Masculino,Parda,21.0,PAF,Via Pública,2012-05-31 15:50:00,
23.0,CVLI,Roubo com Resultado Morte,31/05/2012,18:20,Messias,Centro,Feminino,Parda,40.0,PAF,Interior de Microônibus,2012-05-31 18:20:00,
24.0,CVLI,Homicídio,30/05/2012,12:35,Coruripe,Zona Rural,Masculino,Parda,23.0,PAF,Via Pública,2012-05-30 12:35:00,
26.0,CVLI,Homicídio,01/01/2012,01:00,Ouro Branco,Centro,Feminino,Parda,56.0,ESPANCAMENTO,Vegetação,2012-01-01 01:00:00,
27.0,CVLI,Homicídio,01/01/2012,02:45,Porto Calvo,Centro,Masculino,Parda,17.0,BRANCA,Via Pública,2012-01-01 02:45:00,
28.0,CVLI,Homicídio,01/01/2012,03:00,Viçosa,Centro,Masculino,Parda,24.0,PAF,Via Pública,2012-01-01 03:00:00,
29.0,CVLI,Homicídio,01/01/2012,05:00,Olivença,Zona Rural,Masculino,Branca,44.0,PAF,Dentro de Casa,2012-01-01 05:00:00,
30.0,CVLI,Homicídio,01/01/2012,05:00,Olivença,Zona Rural,Masculino,Branca,33.0,PAF,Dentro de Casa,2012-01-01 05:00:00,
31.0,CVLI,Homicídio,01/01/2012,05:30,São Miguel dos Campos,Centro,Masculino,Parda,36.0,PAF,Dentro de Casa,2012-01-01 05:30:00,
7178.0,CVLI,Homicídio,01/01/2014,01:14,Maceió,Benedito Bentes,Masculino,Parda,20.0,PAF,Próximo de Casa,2014-01-01 01:14:00,
33.0,CVLI,Homicídio,01/01/2012,11:00,Maceió,Canaã,Masculino,Preta,26.0,BRANCA,Dentro de Casa,2012-01-01 11:00:00,
34.0,CVLI,Homicídio,01/01/2012,12:30,Satuba,Centro,Masculino,Parda,29.0,PAF,Terreno Baldio,2012-01-01 12:30:00,
35.0,CVLI,Homicídio,01/01/2012,15:00,Maceió,Trapiche da Barra,Masculino,Parda,16.0,PAF,Próximo de Casa,2012-01-01 15:00:00,
36.0,CVLI,Homicídio,01/01/2012,15:30,São Brás,Zona Rural,Masculino,Parda,17.0,PAF,Via Pública,2012-01-01 15:30:00,
37.0,CVLI,Homicídio,01/01/2012,19:00,Maceió,Clima Bom,Masculino,NI,23.0,PAF,Imediações de Casa,2012-01-01 19:00:00,
38.0,CVLI,Homicídio,01/01/2012,21:30,Cajueiro,Centro,Masculino,Parda,24.0,PAF,Bar,2012-01-01 21:30:00,
39.0,CVLI,Homicídio,02/01/2012,01:00,Atalaia,Zona Rural,Masculino,Parda,17.0,PAF,Dentro de Casa,2012-01-02 01:00:00,
41.0,CVLI,Homicídio,02/01/2012,13:00,Maceió,Fernão Velho,Masculino,Parda,59.0,PAF/B,Local de Trabalho,2012-01-02 13:00:00,
11217.0,CVLI,Homicídio,01/01/2015,11:02,Maceió,Benedito Bentes,Masculino,Parda,17.0,PAF,Imediações de Casa,2015-01-01 11:02:00,
43.0,CVLI,Homicídio,02/01/2012,21:00,Olho d Água das Flores,Centro,Masculino,NI,18.0,PAF,Via Pública,2012-01-02 21:00:00,
44.0,CVLI,Homicídio,03/01/2012,08:30,Maceió,Pinheiro,Masculino,NI,28.0,PAF,Local de Trabalho,2012-01-03 08:30:00,
23738.0,CVLI,Homicídio,01/01/2018,17:30,Maceió,Benedito Bentes,Masculino,Parda,41.0,ESPANCAMENTO,Imediações de Casa,2018-01-01 17:30:00,
47.0,CVLI,Homicídio,03/01/2012,13:00,Palmeira dos Índios,Palmeira de Fora,Masculino,Parda,51.0,BRANCA,Próximo de Casa,2012-01-03 13:00:00,
48.0,CVLI,Homicídio,03/01/2012,13:15,Maceió,Cidade Universitária,Masculino,Amarela,24.0,PAF,Via Pública,2012-01-03 13:15:00,
49.0,CVLI,Homicídio,03/01/2012,22:30,Arapiraca,Zona Rural Oeste,Masculino,NI,33.0,PAF,Próximo de Casa,2012-01-03 22:30:00,
50.0,CVLI,Homicídio,04/01/2012,05:00,Pilar,Chã do Pilar,Masculino,Parda,16.0,PAF,Terreno Baldio,2012-01-04 05:00:00,
51.0,CVLI,Homicídio,04/01/2012,20:15,Maceió,Mangabeiras,Masculino,Parda,20.0,PAF,Via Pública,2012-01-04 20:15:00,
52.0,CVLI,Homicídio,05/01/2012,00:00,Arapiraca,Zona Rural Leste,Masculino,Branca,24.0,BRANCA,Barragem,2012-01-05 00:00:00,
53.0,CVLI,Homicídio,05/01/2012,02:40,Atalaia,Centro,Masculino,NI,29.0,BRANCA,Casa de Amigo,2012-01-05 02:40:00,
54.0,CVLI,Homicídio,05/01/2012,08:00,Messias,Centro,Masculino,NI,43.0,BRANCA,Via Pública,2012-01-05 08:00:00,
47092.0,CVLI,Homicídio,01/01/2022,11:22,Maceió,Benedito Bentes,Masculino,Parda,36.0,ESPANCAMENTO,Via Pública,2022-01-01 11:22:00,
56.0,CVLI,Homicídio,05/01/2012,21:00,Coité do Nóia,Zona Rural,Feminino,Parda,31.0,PAF,Porta de Casa,2012-01-05 21:00:00,
3405.0,CVLI,Homicídio,01/02/2013,09:30,Maceió,Vergel do Lago,Masculino,Branca,33.0,PAF,Via Pública,2013-02-01 09:30:00,
58.0,CVLI,Homicídio,06/01/2012,01:15,São Miguel dos Campos,Centro,Masculino,Parda,26.0,PAF,Via Pública,2012-01-06 01:15:00,
59.0,CVLI,Homicídio,06/01/2012,13:00,Maceió,Tabuleiro do Martins,Masculino,NI,21.0,PAF,Via Pública,2012-01-06 13:00:00,
60.0,CVLI,Homicídio,06/01/2012,14:00,Rio Largo,Mata do Rolo,Masculino,Parda,19.0,PAF,Via Pública,2012-01-06 14:00:00,
24257.0,CVLI,Homicídio,01/02/2018,00:00,Maceió,Benedito Bentes,Masculino,Parda,37.0,ESPANCAMENTO,Imediações de Casa,2018-02-01 00:00:00,
62.0,CVLI,Homicídio,05/01/2012,22:00,São Miguel dos Campos,Centro,Masculino,NI,25.0,PAF,Terreno Baldio,2012-01-05 22:00:00,
63.0,CVLI,Homicídio,07/01/2012,08:00,União dos Palmares,Zona Rural,Masculino,Parda,,ESPANCAMENTO,Vegetação,2012-01-07 08:00:00,
64.0,CVLI,Homicídio,07/01/2012,14:00,Pilar,Centro,Masculino,NI,18.0,PAF,Via Pública,2012-01-07 14:00:00,
65.0,CVLI,Homicídio,07/01/2012,15:00,Arapiraca,Capiatã,Masculino,Parda,18.0,PAF,Porta de Casa,2012-01-07 15:00:00,
66.0,CVLI,Roubo com Resultado Morte,07/01/2012,17:30,Santana do Ipanema,Zona Rural,Masculino,Parda,29.0,PAF,Via Pública,2012-01-07 17:30:00,
67.0,CVLI,Homicídio,07/01/2012,20:00,Maceió,Pinheiro,Masculino,Parda,36.0,PAF,Via Pública,2012-01-07 20:00:00,
68.0,CVLI,Homicídio,07/01/2012,20:20,Palmeira dos Índios,Palmeira de Fora,Masculino,Parda,27.0,PAF,Porta de Casa,2012-01-07 20:20:00,
69.0,CVLI,Homicídio,07/01/2012,20:55,São Luís do Quitunde,Centro,Masculino,NI,37.0,PAF,Via Pública,2012-01-07 20:55:00,
70.0,CVLI,Homicídio,07/01/2012,23:25,Rio Largo,Zona Rural,Masculino,Branca,32.0,BRANCA,Via Pública,2012-01-07 23:25:00,
71.0,CVLI,Homicídio,07/01/2012,23:30,Jundiá,Centro,Masculino,NI,24.0,PAF,Próximo de Casa,2012-01-07 23:30:00,
72.0,CVLI,Homicídio,08/01/2012,00:30,Arapiraca,Manoel Teles,Masculino,Parda,17.0,BRANCA,Via Pública,2012-01-08 00:30:00,
73.0,CVLI,Homicídio,08/01/2012,00:40,Boca da Mata,Centro,Masculino,Parda,26.0,PAF,Via Pública,2012-01-08 00:40:00,
74.0,CVLI,Roubo com Resultado Morte,08/01/2012,02:30,Messias,Centro,Masculino,NI,11.0,BRANCA,Via Pública,2012-01-08 02:30:00,
75.0,CVLI,Homicídio,08/01/2012,05:00,São Luís do Quitunde,Zona Rural,Masculino,NI,27.0,PAF,Via Pública,2012-01-08 05:00:00,
76.0,CVLI,Homicídio,08/01/2012,10:20,Maceió,Jacintinho,Masculino,Parda,32.0,PAF,Terreno Baldio,2012-01-08 10:20:00,
77.0,CVLI,Homicídio,08/01/2012,13:40,Arapiraca,Boa Vista,Masculino,NI,31.0,PAF,Próximo de Casa,2012-01-08 13:40:00,
78.0,CVLI,Homicídio,08/01/2012,19:00,Água Branca,Zona Rural,Masculino,NI,27.0,BRANCA,Imediações de Casa,2012-01-08 19:00:00,
79.0,CVLI,Homicídio,08/01/2012,19:50,Maceió,Tabuleiro do Martins,Masculino,Parda,17.0,PAF,Próximo de Casa,2012-01-08 19:50:00,
80.0,CVLI,Homicídio,08/01/2012,20:00,União dos Palmares,Centro,Masculino,Parda,17.0,PAF,Via Pública,2012-01-08 20:00:00,
81.0,CVLI,Homicídio,08/01/2012,20:00,União dos Palmares,Centro,Masculino,NI,21.0,PAF,Via Pública,2012-01-08 20:00:00,
82.0,CVLI,Homicídio,08/01/2012,21:00,Chã Preta,Zona Rural,Masculino,Parda,24.0,BRANCA,Via Pública,2012-01-08 21:00:00,
83.0,CVLI,Homicídio,08/01/2012,22:30,Rio Largo,Centro,Masculino,Parda,18.0,PAF,Imediações de Casa,2012-01-08 22:30:00,
84.0,CVLI,Homicídio,09/01/2012,02:10,Maceió,Tabuleiro do Martins,Masculino,NI,25.0,PAF,Via Pública,2012-01-09 02:10:00,
85.0,CVLI,Homicídio,09/01/2012,05:30,Campo Grande,Zona Rural,Masculino,Parda,22.0,PAF,Via Pública,2012-01-09 05:30:00,
86.0,CVLI,Homicídio,09/01/2012,13:15,Maceió,Tabuleiro do Martins,Masculino,NI,26.0,PAF,Dentro de Casa,2012-01-09 13:15:00,
87.0,CVLI,Lesão Corporal Seguida de Morte,09/01/2012,15:00,Palmeira dos Índios,Zona Rural,Masculino,Parda,62.0,ESPANCAMENTO,Local Público,2012-01-09 15:00:00,
88.0,CVLI,Homicídio,09/01/2012,17:00,Maceió,Pontal da Barra,Feminino,NI,23.0,ESPANCAMENTO,Terreno Baldio,2012-01-09 17:00:00,
89.0,CVLI,Homicídio,10/01/2012,11:00,Maceió,Feitosa,Masculino,NI,19.0,PAF,Via Pública,2012-01-10 11:00:00,
90.0,CVLI,Homicídio,10/01/2012,10:00,Maceió,Tabuleiro do Martins,Masculino,NI,61.0,ESPANCAMENTO,Dentro de Casa,2012-01-10 10:00:00,
91.0,CVLI,Homicídio,10/01/2012,15:00,Marechal Deodoro,Zona Rural,Masculino,Parda,24.0,PAF,Margem da Lagoa,2012-01-10 15:00:00,
92.0,CVLI,Homicídio,10/01/2012,18:00,Santana do Ipanema,Centro,Masculino,Parda,24.0,PAF,Dentro de Casa,2012-01-10 18:00:00,
93.0,CVLI,Homicídio,10/01/2012,20:30,Maceió,Levada,Masculino,Parda,47.0,PAF,Via Pública,2012-01-10 20:30:00,
94.0,CVLI,Homicídio,11/01/2012,08:00,Delmiro Gouveia,Zona Rural,Masculino,NI,28.0,ESPANCAMENTO,Vegetação,2012-01-11 08:00:00,
95.0,CVLI,Homicídio,11/01/2012,10:00,Viçosa,Zona Rural,Masculino,Parda,28.0,PAF,Via Pública,2012-01-11 10:00:00,
96.0,CVLI,Homicídio,11/01/2012,10:55,Maceió,Tabuleiro do Martins,Masculino,Branca,44.0,PAF,Estabelecimento Comercial,2012-01-11 10:55:00,
97.0,CVLI,Homicídio,11/01/2012,23:30,Delmiro Gouveia,Centro,Masculino,Parda,32.0,ESPANCAMENTO,Via Pública,2012-01-11 23:30:00,
98.0,CVLI,Homicídio,12/01/2012,12:00,Rio Largo,Centro,Masculino,NI,42.0,PAF,Via Pública,2012-01-12 12:00:00,
99.0,CVLI,Homicídio,12/01/2012,12:00,Rio Largo,Centro,Masculino,NI,28.0,PAF,Via Pública,2012-01-12 12:00:00,
42661.0,CVLI,Homicídio,01/02/2021,07:37,Maceió,Benedito Bentes,Masculino,Parda,24.0,PAF,Imediações de Casa,2021-02-01 07:37:00,
101.0,CVLI,Homicídio,10/01/2012,08:00,Rio Largo,Centro,Masculino,Preta,24.0,PAF,Via Pública,2012-01-10 08:00:00,
